row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
2,53,-59.36,83.77,0.4595393982367037,0.6732172042782333,1.132756602514937,1.132756602514937,0.0,0,0,1,1
3,50,-54.36,68.77,0.4544178088640918,0.668711926256018,1.1231297351201097,1.1231297351201097,0.0,0,0,1,1
3,51,-54.36,73.77,0.48705812510928015,0.6582748831833444,1.1453330082926245,0.6181882598153087,0.5271447484773158,0,0,1,1
3,52,-54.36,78.77,0.5029939341165451,0.6518721745017633,1.1548661086183083,1.1548661086183083,0.0,0,0,1,1
3,53,-54.36,83.77,0.508404878670979,0.6470736133284223,1.1554784919994012,1.1554784919994012,0.0,0,0,1,1
3,54,-54.36,88.77,0.5529247392535557,0.645700707824186,1.1986254470777418,1.1986254470777418,0.0,0,0,1,1
3,55,-54.36,93.77,0.5718166714170149,0.637462959649079,1.2092796310660938,0.5074453561892469,0.7018342748768469,0,0,1,1
4,6,-49.36,-151.23,0.024257530880689306,0.1740549051538352,0.1983124360345245,0.0,0.1983124360345245,0,0,0,0
4,7,-49.36,-146.23,0.023685158841862883,0.20674085606629639,0.23042601490815928,0.0,0.23042601490815928,0,0,0,0
4,8,-49.36,-141.23,0.02155171780605127,0.2463449535805835,0.26789667138663475,0.0,0.26789667138663475,0,0,0,0
4,44,-49.36,38.77,0.1665652428518404,0.7409718060372726,0.907537048889113,0.015404939640331,0.8921321092487821,0,0,0,0
4,45,-49.36,43.77,0.17275793312532384,0.7249470923795089,0.8977050255048328,0.034866464836250124,0.8628385606685827,0,0,0,0
4,46,-49.36,48.77,0.17403160509203322,0.7095334605504745,0.8835650656425077,0.04527704540796579,0.838288020234542,0,0,0,0
4,47,-49.36,53.77,0.19282315329544633,0.6920112801421452,0.8848344334375915,0.05860185528599937,0.8262325781515921,0,0,1,0
4,48,-49.36,58.77,0.2746445190229827,0.6717281245801254,0.9463726436031081,0.1479857813423276,0.7983868622607806,0,0,1,1
4,49,-49.36,63.77,0.36279540502763985,0.6525364738832795,1.0153318789109194,0.5388756028375623,0.47645627607335705,0,0,1,1
4,50,-49.36,68.77,0.429142136318015,0.6357611904462661,1.0649033267642811,1.0649033267642811,0.0,0,0,1,1
4,51,-49.36,73.77,0.4478024851851004,0.6221370760547864,1.0699395612398868,1.0699395612398868,0.0,0,0,1,1
4,52,-49.36,78.77,0.4558720983864092,0.6122539691156671,1.0681260675020763,1.0681260675020763,0.0,0,0,1,1
4,53,-49.36,83.77,0.4812466305353134,0.6065771871039479,1.0878238176392614,1.0878238176392614,0.0,0,0,1,1
4,54,-49.36,88.77,0.5144175929301237,0.6051444014637617,1.1195619943938855,1.1195619943938855,0.0,0,0,1,1
4,55,-49.36,93.77,0.510099761615542,0.5999321070634696,1.1100318686790116,1.1100318686790116,0.0,0,0,1,1
4,56,-49.36,98.77,0.42510141882926594,0.5878321093186545,1.0129335281479204,1.0129335281479204,0.0,0,0,1,1
4,57,-49.36,103.77,0.4280449316973653,0.5781987196008482,1.0062436512982136,0.5665074554844736,0.43973619581374,0,0,1,1
5,7,-44.36,-146.23,0.0249009855904926,0.2076654337534238,0.23256641934391642,0.0,0.23256641934391642,0,0,0,0
5,40,-44.36,18.77,0.0673930505457743,0.8208406021075145,0.8882336526532888,0.03342349762172709,0.8548101550315617,0,0,1,0
5,41,-44.36,23.77,0.05581256754159505,0.7939649509044763,0.8497775184460713,0.029872105767634792,0.8199054126784365,0,0,0,0
5,42,-44.36,28.77,0.12008820251512914,0.7670163181985876,0.8871045207137167,0.04190721486164339,0.8451973058520733,0,0,0,0
5,43,-44.36,33.77,0.18562787289913021,0.7427547367737745,0.9283826096729046,0.04527704540796579,0.8831055642649388,0,0,0,0
5,44,-44.36,38.77,0.18308606243185174,0.7212958588789918,0.9043819213108436,0.09671445913699075,0.8076674621738529,0,0,0,0
5,45,-44.36,43.77,0.16864532194774906,0.7016930838803889,0.8703384058281379,0.19810337584536578,0.6722350299827722,0,0,0,0
5,46,-44.36,48.77,0.14601335250809133,0.680398030753182,0.8264113832612733,0.21443292662944588,0.6119784566318274,0,0,0,0
5,47,-44.36,53.77,0.1839833878134931,0.6560556672177679,0.840039055031261,0.20132831447949887,0.6387107405517621,0,0,1,0
5,48,-44.36,58.77,0.24385412920384025,0.6332225273428306,0.8770766565466708,0.2065642461870253,0.6705124103596455,0,0,1,1
5,49,-44.36,63.77,0.3110197662152682,0.6129189234587685,0.9239386896740367,0.47214181725772253,0.45179687241631417,0,0,1,1
5,50,-44.36,68.77,0.3899282239007778,0.5954552790965846,0.9853835029973623,0.5745495961848143,0.41083390681254806,0,0,1,1
5,51,-44.36,73.77,0.3972126975809151,0.5812844531316355,0.9784971507125506,0.8046213915695226,0.173875759143028,0,0,1,1
5,52,-44.36,78.77,0.3877176866154551,0.5709421651929076,0.9586598518083627,0.9586598518083627,0.0,0,0,1,1
5,53,-44.36,83.77,0.42629936824751063,0.5649441763883082,0.9912435446358188,0.867304099716341,0.12393944491947773,0,0,1,1
5,54,-44.36,88.77,0.45092469091864396,0.5634392093835111,1.014363900302155,0.8693545481287651,0.14500935217338984,0,0,1,1
5,55,-44.36,93.77,0.45925121622311793,0.558724895496645,1.0179761117197628,1.0179761117197628,0.0,0,0,1,1
5,56,-44.36,98.77,0.44018415949294776,0.5468727635898983,0.9870569230828461,0.6193074231908553,0.3677494998919908,0,0,1,1
5,57,-44.36,103.77,0.4882865614096786,0.5414592167629037,1.0297457781725823,1.0297457781725823,0.0,0,0,1,1
5,58,-44.36,108.77,0.6099918389971849,0.5444316382456168,1.1544234772428017,1.1544234772428017,0.0,0,0,1,1
5,59,-44.36,113.77,0.5441875355797944,0.5484876197969638,1.0926751553767582,0.6989021031285472,0.393773052248211,0,0,1,1
6,7,-39.36,-146.23,0.017874908208976213,0.2254210662871143,0.24329597449609053,0.0,0.24329597449609053,0,0,0,0
6,36,-39.36,-1.23,0.31447148512040696,0.7977877741022988,1.1122592592227059,1.1122592592227059,0.0,0,0,1,1
6,37,-39.36,3.77,0.2692120423687559,0.8290604711330125,1.0982725135017684,1.0982725135017684,0.0,0,0,1,1
6,38,-39.36,8.77,0.19903565813550195,0.8267307297033775,1.0257663878388794,0.5542805424778928,0.4714858453609866,0,0,1,1
6,39,-39.36,13.77,0.10685843735891185,0.8104015134263741,0.917259950785286,0.17081713708456903,0.746442813700717,0,0,1,1
6,40,-39.36,18.77,0.05949804047906004,0.7880481335571848,0.8475461740362449,0.10352068251439556,0.7440254915218494,0,0,1,0
6,41,-39.36,23.77,0.08029795165693335,0.7620300503429331,0.8423280019998665,0.1538237947744809,0.6885042072253855,0,0,0,0
