n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,0.740327,0.753,2.243865,150.0,"15,21;16,21;16,20;15,20;14,20;14,21"
6,30.0,25.71,0.735388,0.751371,2.243865,150.0,"15,21;16,21;16,20;16,19;15,19;15,20"
6,30.0,25.71,0.753514,0.770981,2.243865,150.0,"15,21;16,21;16,22;15,22;14,22;14,21"
6,30.0,25.71,0.76186,0.78721,2.243865,150.0,"15,21;16,21;16,22;16,23;15,23;15,22"
6,30.0,25.71,0.750084,0.786707,2.243865,150.0,"15,21;15,20;14,20;13,20;13,21;14,21"
6,30.0,25.71,0.74597,0.770981,2.243865,150.0,"15,21;15,20;14,20;14,21;14,22;15,22"
6,30.0,25.71,0.584695,0.696317,2.243865,150.0,"14,56;15,56;15,55;14,55;13,55;13,56"
6,30.0,25.71,0.650056,0.700183,2.243865,150.0,"14,56;14,55;13,55;12,55;12,56;13,56"
6,30.0,25.71,0.755973,0.795208,2.243865,150.0,"13,29;12,29;12,28;13,28;14,28;14,29"
6,30.0,25.71,0.751707,0.777315,2.243865,150.0,"13,29;12,29;12,28;12,27;13,27;13,28"
6,30.0,25.71,0.790486,0.817201,2.243865,150.0,"13,27;13,26;13,25;14,25;14,26;14,27"
6,30.0,25.71,0.535085,0.780304,2.243865,175.0,"18,48;19,48;19,49;19,50;18,50;18,49"
6,30.0,25.71,0.47433,0.653635,2.243865,150.0,"18,48;18,47;19,47;19,48;19,49;18,49"
6,30.0,25.71,0.412786,0.433801,2.243865,150.0,"14,47;14,46;14,45;15,45;15,46;15,47"
6,30.0,25.71,0.482033,0.584942,2.243865,150.0,"14,47;14,48;13,48;12,48;12,47;13,47"
6,30.0,25.71,0.443691,0.499567,2.243865,150.0,"14,47;14,48;13,48;13,47;13,46;14,46"
6,30.0,25.71,0.424269,0.457829,2.243865,150.0,"18,48;18,47;18,46;19,46;19,47;19,48"
6,30.0,25.71,0.646097,0.88794,2.243865,150.0,"18,39;18,38;19,38;19,39;19,40;18,40"
6,30.0,25.71,0.621551,0.795472,2.243865,150.0,"18,39;18,38;18,37;17,37;17,38;17,39"
6,30.0,25.71,0.754375,0.949017,2.243865,150.0,"18,39;18,38;18,37;19,37;19,38;19,39"
6,30.0,25.71,0.499148,0.555938,2.243865,150.0,"18,39;18,40;17,40;16,40;16,39;17,39"
6,30.0,25.71,0.535414,0.644332,2.243865,150.0,"18,39;18,40;17,40;17,39;17,38;18,38"
6,30.0,25.71,0.500642,0.555938,2.243865,150.0,"18,39;18,40;18,41;17,41;17,40;17,39"
6,30.0,25.71,0.560873,0.69355,2.243865,150.0,"18,39;18,40;18,41;19,41;19,40;19,39"
6,30.0,25.71,0.781426,0.825704,2.243865,150.0,"13,27;13,28;12,28;12,27;12,26;13,26"
6,30.0,25.71,0.80463,0.867526,2.243865,150.0,"13,27;13,28;14,28;15,28;15,27;14,27"
6,30.0,25.71,0.780849,0.804729,2.243865,150.0,"13,27;13,28;14,28;14,27;14,26;13,26"
6,30.0,25.71,0.768889,0.795208,2.243865,150.0,"13,27;13,28;13,29;14,29;14,28;14,27"
6,30.0,25.71,0.892411,1.110416,2.243865,150.0,"13,36;12,36;11,36;11,35;12,35;13,35"
6,30.0,25.71,0.882537,1.110416,2.243865,150.0,"13,36;12,36;11,36;11,37;12,37;13,37"
6,30.0,25.71,0.783848,1.110416,2.243865,150.0,"13,36;12,36;12,35;13,35;14,35;14,36"
6,30.0,25.71,0.817181,1.110416,2.243865,150.0,"13,36;12,36;12,35;12,34;13,34;13,35"
6,30.0,25.71,0.747846,1.110416,2.243865,150.0,"13,36;12,36;12,37;13,37;14,37;14,36"
6,30.0,25.71,0.769041,1.110416,2.243865,150.0,"13,36;12,36;12,37;12,38;13,38;13,37"
