n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
4,20.0,17.14,1.725471,1.753448,1.471942,100.0,"6,40;6,41;5,41;5,40"
4,20.0,17.14,1.717316,1.741101,1.485092,100.0,"8,28;8,29;9,29;9,28"
6,30.0,25.71,1.70771,1.741101,2.198024,150.0,"9,27;9,28;9,29;8,29;8,28;8,27"
4,20.0,17.14,1.704598,1.741101,1.484873,100.0,"9,27;8,27;8,28;9,28"
6,30.0,25.71,1.699733,1.741101,2.201179,150.0,"9,29;9,28;8,28;8,29;8,30;9,30"
4,20.0,17.14,1.699673,1.72855,1.500717,100.0,"6,40;6,39;7,39;7,40"
6,30.0,25.71,1.699586,1.741101,2.197376,150.0,"8,28;8,27;8,26;9,26;9,27;9,28"
6,30.0,25.71,1.694076,1.753448,2.197838,150.0,"6,40;5,40;5,41;6,41;7,41;7,40"
4,20.0,17.14,1.692649,1.722303,1.471949,100.0,"8,26;8,25;9,25;9,26"
6,30.0,25.71,1.691265,1.724942,2.184897,150.0,"8,25;8,26;8,27;9,27;9,26;9,25"
6,30.0,25.71,1.690802,1.741101,2.210988,150.0,"9,28;10,28;10,29;9,29;8,29;8,28"
4,20.0,17.14,1.689249,1.730446,1.488232,100.0,"9,30;8,30;8,29;9,29"
4,20.0,17.14,1.68903,1.724942,1.484419,100.0,"9,27;9,26;8,26;8,27"
6,30.0,25.71,1.687386,1.753448,2.185093,150.0,"6,40;5,40;5,41;5,42;6,42;6,41"
6,30.0,25.71,1.677088,1.72855,2.226153,150.0,"6,41;6,40;6,39;7,39;7,40;7,41"
6,30.0,25.71,1.671573,1.72855,2.213649,150.0,"7,40;7,39;7,38;6,38;6,39;6,40"
6,30.0,25.71,1.669047,1.741101,2.210769,150.0,"8,27;8,28;9,28;10,28;10,27;9,27"
4,20.0,17.14,1.668316,1.700299,1.516585,100.0,"10,28;9,28;9,29;10,29"
4,20.0,17.14,1.668214,1.72855,1.513206,100.0,"6,40;6,41;7,41;7,40"
6,30.0,25.71,1.66813,1.72855,2.226613,150.0,"6,40;6,39;7,39;8,39;8,40;7,40"
6,30.0,25.71,1.667403,1.730446,2.213665,150.0,"9,29;9,30;9,31;8,31;8,30;8,29"
6,30.0,25.71,1.664786,1.722303,2.197845,150.0,"9,25;8,25;8,26;9,26;10,26;10,25"
6,30.0,25.71,1.662603,1.730446,2.214127,150.0,"10,29;10,30;9,30;8,30;8,29;9,29"
4,20.0,17.14,1.66058,1.738152,1.484631,100.0,"6,42;6,41;5,41;5,42"
6,30.0,25.71,1.656015,1.724942,2.210315,150.0,"8,27;9,27;10,27;10,26;9,26;8,26"
4,20.0,17.14,1.655104,1.703543,1.488215,100.0,"7,38;6,38;6,39;7,39"
4,20.0,17.14,1.65335,1.710789,1.471933,100.0,"8,32;8,31;7,31;7,32"
6,30.0,25.71,1.64984,1.700299,2.242009,150.0,"10,29;10,28;10,27;9,27;9,28;9,29"
6,30.0,25.71,1.64759,1.700299,2.24248,150.0,"9,28;9,29;10,29;11,29;11,28;10,28"
6,30.0,25.71,1.644661,1.700299,2.242221,150.0,"10,29;10,28;9,28;9,29;9,30;10,30"
4,20.0,17.14,1.644172,1.686127,1.517233,100.0,"7,40;8,40;8,39;7,39"
4,20.0,17.14,1.644138,1.699663,1.500717,100.0,"8,30;8,31;9,31;9,30"
4,20.0,17.14,1.638282,1.639999,1.454927,100.0,"19,10;20,10;20,9;19,9"
4,20.0,17.14,1.637327,1.674366,1.513213,100.0,"9,25;10,25;10,26;9,26"
6,30.0,25.71,1.637292,1.639999,2.167874,150.0,"19,11;20,11;20,10;20,9;19,9;19,10"
4,20.0,17.14,1.63706,1.700299,1.516547,100.0,"10,27;10,28;9,28;9,27"
6,30.0,25.71,1.636984,1.703543,2.214111,150.0,"6,38;6,39;7,39;8,39;8,38;7,38"
6,30.0,25.71,1.6366,1.639403,2.241703,150.0,"19,12;19,11;18,11;18,12;18,13;19,13"
4,20.0,17.14,1.6366,1.639403,1.516269,100.0,"19,12;19,11;18,11;18,12"
4,20.0,17.14,1.636597,1.639336,1.516541,100.0,"19,12;19,13;18,13;18,12"
4,20.0,17.14,1.63641,1.639745,1.483499,100.0,"19,11;20,11;20,10;19,10"
4,20.0,17.14,1.636377,1.697418,1.516788,100.0,"9,30;9,29;10,29;10,30"
6,30.0,25.71,1.636211,1.639745,2.237265,150.0,"18,12;19,12;19,11;19,10;18,10;18,11"
4,20.0,17.14,1.636133,1.639336,1.484876,100.0,"19,13;20,13;20,12;19,12"
4,20.0,17.14,1.63602,1.639745,1.511832,100.0,"18,11;18,10;19,10;19,11"
6,30.0,25.71,1.635941,1.639745,2.196447,150.0,"19,10;19,11;19,12;20,12;20,11;20,10"
6,30.0,25.71,1.635859,1.639403,2.197753,150.0,"19,13;20,13;20,12;20,11;19,11;19,12"
6,30.0,25.71,1.635453,1.639336,2.210762,150.0,"20,12;20,13;19,13;18,13;18,12;19,12"
6,30.0,25.71,1.635256,1.639999,2.155405,150.0,"20,9;19,9;18,9;18,10;19,10;20,10"
6,30.0,25.71,1.635217,1.700299,2.241779,150.0,"10,28;9,28;9,27;9,26;10,26;10,27"
4,20.0,17.14,1.635158,1.639403,1.484805,100.0,"19,12;20,12;20,11;19,11"
6,30.0,25.71,1.635095,1.639745,2.205803,150.0,"19,11;18,11;18,10;19,10;20,10;20,11"
6,30.0,25.71,1.634913,1.639745,2.196214,150.0,"19,10;19,11;18,11;18,10;18,9;19,9"
6,30.0,25.71,1.634715,1.639403,2.210483,150.0,"18,11;19,11;20,11;20,12;19,12;18,12"
4,20.0,17.14,1.634066,1.639745,1.47078,100.0,"18,9;18,10;19,10;19,9"
6,30.0,25.71,1.633446,1.639336,2.241975,150.0,"18,14;18,13;18,12;19,12;19,13;19,14"
6,30.0,25.71,1.632754,1.639336,2.242423,150.0,"18,12;17,12;17,13;18,13;19,13;19,12"
6,30.0,25.71,1.632442,1.639403,2.241731,150.0,"18,12;19,12;19,11;18,11;17,11;17,12"
4,20.0,17.14,1.631872,1.638869,1.516554,100.0,"18,13;19,13;19,14;18,14"
6,30.0,25.71,1.631007,1.639745,2.224985,150.0,"18,11;17,11;17,10;18,10;19,10;19,11"
6,30.0,25.71,1.630866,1.639336,2.197824,150.0,"19,13;19,12;20,12;20,13;20,14;19,14"
6,30.0,25.71,1.630389,1.674366,2.226364,150.0,"9,25;9,26;10,26;10,25;10,24;9,24"
6,30.0,25.71,1.630198,1.638869,2.210775,150.0,"20,13;19,13;18,13;18,14;19,14;20,14"
4,20.0,17.14,1.629817,1.674366,1.50093,100.0,"9,25;9,24;10,24;10,25"
4,20.0,17.14,1.629579,1.634332,1.517885,100.0,"18,13;17,13;17,12;18,12"
6,30.0,25.71,1.629447,1.638869,2.242449,150.0,"18,14;19,14;19,13;18,13;17,13;17,14"
6,30.0,25.71,1.629219,1.634332,2.243086,150.0,"17,11;18,11;18,12;18,13;17,13;17,12"
6,30.0,25.71,1.629181,1.674366,2.238647,150.0,"10,27;10,26;10,25;9,25;9,26;9,27"
6,30.0,25.71,1.629018,1.634332,2.243764,150.0,"17,13;17,12;18,12;18,13;18,14;17,14"
4,20.0,17.14,1.628978,1.633851,1.517207,100.0,"18,12;18,11;17,11;17,12"
4,20.0,17.14,1.628799,1.634332,1.517911,100.0,"18,13;17,13;17,14;18,14"
4,20.0,17.14,1.628797,1.638869,1.48488,100.0,"20,14;19,14;19,13;20,13"
6,30.0,25.71,1.627635,1.633851,2.226757,150.0,"18,11;18,12;17,12;17,11;17,10;18,10"
4,20.0,17.14,1.626724,1.633809,1.500878,100.0,"17,10;17,11;18,11;18,10"
6,30.0,25.71,1.624904,1.686127,2.242657,150.0,"7,39;7,40;8,40;8,39;8,38;7,38"
6,30.0,25.71,1.62432,1.697418,2.242684,150.0,"11,30;10,30;9,30;9,29;10,29;11,29"
6,30.0,25.71,1.623995,1.634332,2.243773,150.0,"17,13;18,13;18,12;17,12;16,12;16,13"
6,30.0,25.71,1.623831,1.710789,2.18489,150.0,"7,33;8,33;8,32;8,31;7,31;7,32"
6,30.0,25.71,1.623072,1.634332,2.243806,150.0,"16,13;16,14;17,14;18,14;18,13;17,13"
6,30.0,25.71,1.622984,1.633851,2.242846,150.0,"17,11;16,11;16,12;17,12;18,12;18,11"
4,20.0,17.14,1.622666,1.686127,1.516778,100.0,"7,38;8,38;8,39;7,39"
4,20.0,17.14,1.622211,1.656821,1.516343,100.0,"9,27;10,27;10,26;9,26"
6,30.0,25.71,1.622016,1.634332,2.24379,150.0,"17,13;17,14;17,15;18,15;18,14;18,13"
4,20.0,17.14,1.621956,1.653382,1.517914,100.0,"10,28;11,28;11,29;10,29"
6,30.0,25.71,1.621264,1.638869,2.241988,150.0,"18,13;18,14;18,15;19,15;19,14;19,13"
4,20.0,17.14,1.620624,1.632004,1.471503,100.0,"9,21;8,21;8,22;9,22"
6,30.0,25.71,1.620129,1.633809,2.216995,150.0,"17,11;18,11;18,10;17,10;16,10;16,11"
6,30.0,25.71,1.619871,1.674366,2.217016,150.0,"9,24;9,23;10,23;10,24;10,25;9,25"
6,30.0,25.71,1.619211,1.638869,2.197828,150.0,"19,15;20,15;20,14;20,13;19,13;19,14"
4,20.0,17.14,1.618947,1.625073,1.517933,100.0,"17,13;16,13;16,12;17,12"
6,30.0,25.71,1.618313,1.625073,2.243828,150.0,"17,14;16,14;16,13;16,12;17,12;17,13"
4,20.0,17.14,1.618173,1.631669,1.517912,100.0,"17,14;17,15;18,15;18,14"
6,30.0,25.71,1.618154,1.632004,2.172411,150.0,"9,22;9,21;9,20;8,20;8,21;8,22"
4,20.0,17.14,1.618108,1.625073,1.517966,100.0,"16,13;17,13;17,14;16,14"
6,30.0,25.71,1.618097,1.625073,2.242916,150.0,"17,12;17,11;16,11;16,12;16,13;17,13"
6,30.0,25.71,1.617892,1.72855,2.238667,150.0,"6,42;7,42;7,41;7,40;6,40;6,41"
4,20.0,17.14,1.61756,1.62506,1.517021,100.0,"16,12;16,11;17,11;17,12"
6,30.0,25.71,1.616631,1.700299,2.242443,150.0,"11,28;10,28;9,28;9,27;10,27;11,27"
6,30.0,25.71,1.615722,1.72855,2.239101,150.0,"8,41;8,40;7,40;6,40;6,41;7,41"
4,20.0,17.14,1.615576,1.620637,1.471933,100.0,"9,20;8,20;8,21;9,21"
6,30.0,25.71,1.615549,1.62506,2.217509,150.0,"16,11;16,10;17,10;17,11;17,12;16,12"
6,30.0,25.71,1.615478,1.631669,2.24245,150.0,"19,15;19,14;18,14;17,14;17,15;18,15"
6,30.0,25.71,1.615415,1.625073,2.243861,150.0,"16,13;17,13;17,14;17,15;16,15;16,14"
6,30.0,25.71,1.61508,1.710789,2.197828,150.0,"8,31;7,31;7,32;8,32;9,32;9,31"
6,30.0,25.71,1.614728,1.632004,2.197399,150.0,"10,22;10,21;9,21;8,21;8,22;9,22"
6,30.0,25.71,1.614725,1.631669,2.243807,150.0,"17,14;16,14;16,15;17,15;18,15;18,14"
4,20.0,17.14,1.613961,1.623191,1.491614,100.0,"16,10;16,11;17,11;17,10"
6,30.0,25.71,1.613902,1.738152,2.210526,150.0,"7,41;6,41;5,41;5,42;6,42;7,42"
4,20.0,17.14,1.613595,1.631669,1.516555,100.0,"19,15;19,14;18,14;18,15"
4,20.0,17.14,1.613536,1.624122,1.517967,100.0,"16,15;16,14;17,14;17,15"
6,30.0,25.71,1.612491,1.631669,2.210776,150.0,"19,14;20,14;20,15;19,15;18,15;18,14"
6,30.0,25.71,1.612399,1.738152,2.200717,150.0,"6,41;5,41;5,42;5,43;6,43;6,42"
6,30.0,25.71,1.611891,1.625073,2.243828,150.0,"16,13;17,13;17,12;16,12;15,12;15,13"
6,30.0,25.71,1.611554,1.620637,2.197829,150.0,"8,20;9,20;10,20;10,21;9,21;8,21"
6,30.0,25.71,1.611367,1.625073,2.243861,150.0,"15,14;16,14;17,14;17,13;16,13;15,13"
6,30.0,25.71,1.611016,1.699663,2.226151,150.0,"8,30;8,31;8,32;9,32;9,31;9,30"
6,30.0,25.71,1.61075,1.703543,2.200717,150.0,"7,39;7,38;7,37;6,37;6,38;6,39"
4,20.0,17.14,1.610186,1.622616,1.48488,100.0,"20,15;19,15;19,14;20,14"
6,30.0,25.71,1.609773,1.62506,2.24291,150.0,"16,12;15,12;15,11;16,11;17,11;17,12"
4,20.0,17.14,1.608931,1.615238,1.51301,100.0,"9,21;10,21;10,22;9,22"
4,20.0,17.14,1.608842,1.615238,1.513204,100.0,"10,21;10,20;9,20;9,21"
6,30.0,25.71,1.608616,1.615238,2.229291,150.0,"9,19;9,20;9,21;10,21;10,20;10,19"
6,30.0,25.71,1.608515,1.615238,2.235508,150.0,"10,21;10,20;9,20;9,21;9,22;10,22"
