n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
4,20.0,17.14,1.711168,1.742271,1.471942,100.0,"6,41;6,40;5,40;5,41"
4,20.0,17.14,1.696864,1.720399,1.485092,100.0,"8,29;9,29;9,28;8,28"
6,30.0,25.71,1.687298,1.720399,2.198024,150.0,"9,28;9,29;8,29;8,28;8,27;9,27"
4,20.0,17.14,1.683648,1.720399,1.484873,100.0,"9,28;9,27;8,27;8,28"
4,20.0,17.14,1.683096,1.713305,1.500717,100.0,"6,40;7,40;7,39;6,39"
6,30.0,25.71,1.681664,1.720399,2.201179,150.0,"8,29;8,30;9,30;9,29;9,28;8,28"
6,30.0,25.71,1.67825,1.742271,2.197838,150.0,"7,41;7,40;6,40;5,40;5,41;6,41"
6,30.0,25.71,1.678046,1.720399,2.197376,150.0,"8,27;8,28;9,28;9,27;9,26;8,26"
6,30.0,25.71,1.674216,1.742271,2.185093,150.0,"5,42;6,42;6,41;6,40;5,40;5,41"
4,20.0,17.14,1.672932,1.71296,1.488232,100.0,"8,29;8,30;9,30;9,29"
6,30.0,25.71,1.669833,1.720399,2.210988,150.0,"9,28;8,28;8,29;9,29;10,29;10,28"
4,20.0,17.14,1.66846,1.698306,1.471949,100.0,"8,26;9,26;9,25;8,25"
6,30.0,25.71,1.668362,1.703382,2.184897,150.0,"8,26;8,27;9,27;9,26;9,25;8,25"
4,20.0,17.14,1.667505,1.703382,1.484419,100.0,"9,26;9,27;8,27;8,26"
6,30.0,25.71,1.660772,1.713305,2.226153,150.0,"6,40;6,39;7,39;7,40;7,41;6,41"
6,30.0,25.71,1.658583,1.713305,2.213649,150.0,"6,38;7,38;7,39;7,40;6,40;6,39"
6,30.0,25.71,1.653503,1.71296,2.213665,150.0,"9,29;8,29;8,30;8,31;9,31;9,30"
4,20.0,17.14,1.651925,1.708502,1.471933,100.0,"7,31;7,32;8,32;8,31"
4,20.0,17.14,1.651024,1.713305,1.513206,100.0,"7,40;6,40;6,41;7,41"
6,30.0,25.71,1.648974,1.720399,2.210769,150.0,"10,27;9,27;8,27;8,28;9,28;10,28"
6,30.0,25.71,1.647854,1.713305,2.226613,150.0,"8,39;8,40;7,40;6,40;6,39;7,39"
4,20.0,17.14,1.647431,1.72313,1.484631,100.0,"6,42;5,42;5,41;6,41"
4,20.0,17.14,1.64641,1.677856,1.516585,100.0,"10,29;10,28;9,28;9,29"
6,30.0,25.71,1.645234,1.71296,2.214127,150.0,"10,30;10,29;9,29;8,29;8,30;9,30"
4,20.0,17.14,1.644913,1.695269,1.488215,100.0,"7,39;6,39;6,38;7,38"
6,30.0,25.71,1.64152,1.698306,2.197845,150.0,"10,26;9,26;8,26;8,25;9,25;10,25"
6,30.0,25.71,1.635545,1.703382,2.210315,150.0,"9,27;8,27;8,26;9,26;10,26;10,27"
4,20.0,17.14,1.632954,1.687053,1.500717,100.0,"9,31;9,30;8,30;8,31"
6,30.0,25.71,1.629354,1.677856,2.242009,150.0,"10,29;10,28;10,27;9,27;9,28;9,29"
6,30.0,25.71,1.625161,1.677856,2.242221,150.0,"9,29;9,28;10,28;10,29;10,30;9,30"
6,30.0,25.71,1.624756,1.677856,2.24248,150.0,"11,29;11,28;10,28;9,28;9,29;10,29"
6,30.0,25.71,1.624673,1.708502,2.18489,150.0,"8,33;7,33;7,32;7,31;8,31;8,32"
6,30.0,25.71,1.620322,1.695269,2.214111,150.0,"7,38;8,38;8,39;7,39;6,39;6,38"
