n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,0.733242,0.812821,2.243808,150.0,"14,56;14,57;14,58;15,58;15,57;15,56"
6,30.0,25.71,0.751252,0.831962,2.243819,150.0,"14,56;14,57;14,58;13,58;13,57;13,56"
4,20.0,17.14,0.710763,0.733311,1.517967,100.0,"14,56;14,57;15,57;15,56"
6,30.0,25.71,0.707486,0.733311,2.243862,150.0,"14,56;14,57;15,57;15,56;15,55;14,55"
6,30.0,25.71,0.730857,0.800534,2.24386,150.0,"14,56;14,57;15,57;16,57;16,56;15,56"
4,20.0,17.14,0.715683,0.73888,1.517967,100.0,"14,56;14,57;13,57;13,56"
6,30.0,25.71,0.715079,0.73888,2.243863,150.0,"14,56;14,57;13,57;13,56;13,55;14,55"
6,30.0,25.71,0.736166,0.785429,2.243863,150.0,"14,56;14,57;13,57;12,57;12,56;13,56"
6,30.0,25.71,0.717211,0.780469,2.243865,150.0,"14,56;14,55;14,54;15,54;15,55;15,56"
6,30.0,25.71,0.739123,0.817241,2.243865,150.0,"14,56;14,55;14,54;13,54;13,55;13,56"
4,20.0,17.14,0.699261,0.705793,1.517969,100.0,"14,56;14,55;15,55;15,56"
6,30.0,25.71,0.707486,0.733311,2.243862,150.0,"14,56;14,55;15,55;15,56;15,57;14,57"
6,30.0,25.71,0.703367,0.741555,2.243865,150.0,"14,56;14,55;15,55;16,55;16,56;15,56"
4,20.0,17.14,0.709257,0.728601,1.517969,100.0,"14,56;14,55;13,55;13,56"
6,30.0,25.71,0.715079,0.73888,2.243863,150.0,"14,56;14,55;13,55;13,56;13,57;14,57"
6,30.0,25.71,0.730237,0.775557,2.243865,150.0,"14,56;14,55;13,55;12,55;12,56;13,56"
6,30.0,25.71,0.733242,0.812821,2.243808,150.0,"14,56;15,56;15,57;15,58;14,58;14,57"
4,20.0,17.14,0.710763,0.733311,1.517967,100.0,"14,56;15,56;15,57;14,57"
