pred_code,prey_code
ACIJUB,AEPMEL
ACIJUB,CONTAU
ACIJUB,MADKIR
ACIJUB,PHAAET
CANMES,MADKIR
CARCAR,MADKIR
CARCAR,PROCAP
CROCRO,AEPMEL
CROCRO,ALCBUS
CROCRO,CONTAU
CROCRO,EQUBUR
CROCRO,MADKIR
CROCRO,PHAAET
PANLEO,AEPMEL
PANLEO,ALCBUS
PANLEO,CONTAU
PANLEO,CROCRO
PANLEO,EQUBUR
PANLEO,GIRCAM
PANLEO,MADKIR
PANLEO,PANLEO
PANLEO,PHAAET
PANLEO,TAUORY
PANPAR,ACIJUB
PANPAR,AEPMEL
PANPAR,ALCBUS
PANPAR,CANMES
PANPAR,CONTAU
PANPAR,EQUBUR
PANPAR,LEPSER
PANPAR,MADKIR
PANPAR,PHAAET
PANPAR,TAUORY
AEPMEL,ACASEN
AEPMEL,ACATOR
AEPMEL,ANDGRE
AEPMEL,ARI
AEPMEL,BRASEM
AEPMEL,CHLGAY
AEPMEL,COMMOL
AEPMEL,CROMAC
AEPMEL,CYNDAC
AEPMEL,GREBIC
AEPMEL,HARSCH
AEPMEL,HIB
AEPMEL,HYPFIL
AEPMEL,HYPRUF
AEPMEL,INDHOC
AEPMEL,PANMAX
AEPMEL,PENMEZ
AEPMEL,SID
AEPMEL,SOLINC
AEPMEL,SPOFES
AEPMEL,SPOIOC
AEPMEL,SPOPYR
AEPMEL,THETRI
ALCBUS,ANDGRE
ALCBUS,ARI
ALCBUS,BOTINS
ALCBUS,BRASEM
ALCBUS,CYNDAC
ALCBUS,DIGMAC
ALCBUS,DIGSCA
ALCBUS,DINRET
ALCBUS,EUSPAS
ALCBUS,HARSCH
ALCBUS,HETCON
ALCBUS,HYPFIL
ALCBUS,HYPRUF
ALCBUS,PANCOL
ALCBUS,PENMEZ
ALCBUS,SID
ALCBUS,SOLINC
ALCBUS,SPOIOC
ALCBUS,SPOPYR
ALCBUS,SPOSPI
ALCBUS,THETRI
CONTAU,ANDGRE
CONTAU,ARI
CONTAU,BOTINS
CONTAU,BRASEM
CONTAU,CHLGAY
CONTAU,CYNDAC
CONTAU,DIGDIA
CONTAU,DIGMAC
CONTAU,DIGSCA
CONTAU,DINRET
CONTAU,ERACIL
CONTAU,ERATEN
CONTAU,EUSPAS
CONTAU,HARSCH
CONTAU,HYPFIL
CONTAU,HYPRUF
CONTAU,INDHOC
CONTAU,MICKUN
CONTAU,PANCOL
CONTAU,PANMAX
CONTAU,PENMEZ
CONTAU,SID
CONTAU,SOLINC
CONTAU,SPOIOC
CONTAU,SPOPYR
CONTAU,THETRI
EQUBUR,ARI
EQUBUR,BOTINS
EQUBUR,BRASEM
EQUBUR,CROMAC
EQUBUR,CYNDAC
EQUBUR,DIGMAC
EQUBUR,DINRET
EQUBUR,ERATEN
EQUBUR,EUSPAS
EQUBUR,GREBIC
EQUBUR,HARSCH
EQUBUR,HETCON
EQUBUR,HYPFIL
EQUBUR,HYPRUF
EQUBUR,PANCOL
EQUBUR,PENMEZ
EQUBUR,SOLINC
EQUBUR,SPOPYR
EQUBUR,THETRI
GIRCAM,ACAROB
GIRCAM,ACASEN
GIRCAM,ACASEY
GIRCAM,ACATOR
GIRCAM,BALAEG
GIRCAM,COMMIAFR
GIRCAM,COROVA
GIRCAM,CROMAC
GIRCAM,GREBIC
GIRCAM,GREFAL
GIRCAM,GRETRI
GIRCAM,HIB
GIRCAM,HIBLUN
GIRCAM,INDHOC
GIRCAM,MAETRI
GIRCAM,OLE
GIRCAM,PAVASS
GIRCAM,PHYSEP
GIRCAM,SID
GIRCAM,SOLINC
LOXAFR,ABU
LOXAFR,ACAFRU
LOXAFR,ACASEN
LOXAFR,ACATOR
LOXAFR,ALLRUB
LOXAFR,ANDGRE
LOXAFR,ARI
LOXAFR,BALAEG
LOXAFR,BLEACA
LOXAFR,BRASEM
LOXAFR,CAPTOM
LOXAFR,CISQUA
LOXAFR,CISROT
LOXAFR,COMMEAFR
LOXAFR,COMMER
LOXAFR,COMSCH
LOXAFR,COROVA
LOXAFR,CRODIC
LOXAFR,CROMAC
LOXAFR,CYNDAC
LOXAFR,FICGLU
LOXAFR,FICING
LOXAFR,GREBIC
LOXAFR,GREFAL
LOXAFR,GRETRI
LOXAFR,HARSCH
LOXAFR,HIB
LOXAFR,HIBLUN
LOXAFR,HYPFIL
LOXAFR,IBO
LOXAFR,INDBAS
LOXAFR,INDHOC
LOXAFR,MAETRI
LOXAFR,PAPCAP
LOXAFR,PAVASS
LOXAFR,PHYSEP
LOXAFR,RHOREV
LOXAFR,SCLBIR
LOXAFR,SENEHR
LOXAFR,SID
LOXAFR,SOLINC
LOXAFR,SPOIOC
LOXAFR,SPOPYR
LOXAFR,THETRI
LOXAFR,XIMCAF
LOXAFR,ZIZ
MADKIR,ACAFRU
MADKIR,ACHASP
MADKIR,ALLRUB
MADKIR,ALOMAC
MADKIR,ANDGRE
MADKIR,ARI
MADKIR,BOSAUG
MADKIR,CAPTOM
MADKIR,CECCIL
MADKIR,COMMEAFR
MADKIR,COMMIAFR
MADKIR,COROVA
MADKIR,ERATEN
MADKIR,FICGLU
MADKIR,GRETRI
MADKIR,HETCON
MADKIR,HIB
MADKIR,HIBLUN
MADKIR,HOSOPP
MADKIR,INDBAS
MADKIR,INDHOC
MADKIR,KAL
MADKIR,MAETRI
MADKIR,OCI
MADKIR,PANMAX
MADKIR,SENEHR
MADKIR,SOLDEN
MADKIR,SOLINC
MADKIR,SOLNIG
MADKIR,SPOIOC
PHAAET,ANDGRE
PHAAET,CHLGAY
PHAAET,CYNDAC
PHAAET,ECHHAP
PHAAET,ERAEXA
PHAAET,HETCON
PHAAET,SPOIOC
PHAAET,SPOPYR
PHAAET,THETRI
PROCAP,ABU
PROCAP,ACAFRU
PROCAP,ACAROB
PROCAP,ACATOR
PROCAP,ACHASP
PROCAP,ALBHAR
PROCAP,ALBU
PROCAP,ALLRUB
PROCAP,ALOMAC
PROCAP,ALOSEC
PROCAP,ARI
PROCAP,BLEACA
PROCAP,BOTINS
PROCAP,BRASEM
PROCAP,CAPTOM
PROCAP,CECCIL
PROCAP,CHLPYC
PROCAP,CISQUA
PROCAP,CISROT
PROCAP,COMMEAFR
PROCAP,COMMOL
PROCAP,COMSCH
PROCAP,COROVA
PROCAP,CRODIC
PROCAP,CYNDAC
PROCAP,CYP
PROCAP,CYPH
PROCAP,DIGMAC
PROCAP,DIGTER
PROCAP,DIHAMP
PROCAP,EMICOC
PROCAP,ERAASP
PROCAP,ERATEN
PROCAP,ERINUB
PROCAP,FICGLU
PROCAP,FICING
PROCAP,GREFAL
PROCAP,GRETRI
PROCAP,HETCON
PROCAP,HIB
PROCAP,HIBLUN
PROCAP,HOSOPP
PROCAP,HYPFOR
PROCAP,IBO
PROCAP,IPOOBS
PROCAP,JAS
PROCAP,KEDFOE
PROCAP,KYLNER
PROCAP,MAETRI
PROCAP,MICKUN
PROCAP,OCI
PROCAP,PANMAX
PROCAP,PAPCAP
PROCAP,PAVASS
PROCAP,PAVPAT
PROCAP,PELCAL
PROCAP,PENMEZ
PROCAP,PENSTR
PROCAP,PHYSEP
PROCAP,PUPLAP
PROCAP,RHOREV
PROCAP,SCLBIR
PROCAP,SENDID
PROCAP,SENEHR
PROCAP,SENSUF
PROCAP,SOLDEN
PROCAP,SOLINC
PROCAP,SOLNIG
PROCAP,SPOPEL
PROCAP,SPOSTA
PROCAP,THETRI
PROCAP,TURFIS
PROCAP,XIMCAF
TAUORY,ACATOR
TAUORY,BOTINS
TAUORY,CHLROX
TAUORY,COMMOL
TAUORY,CYNDAC
TAUORY,DIGMIL
TAUORY,DUOKIL
