n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.730199,1.84489,1.344103,75.0,"22,54;23,53;23,54"
3,17.071,30.0,1.720782,1.84489,1.344103,75.0,"23,54;22,53;23,53"
3,17.071,30.0,1.693502,1.84489,1.344103,75.0,"23,52;23,53;22,53"
3,17.071,30.0,1.659639,1.84489,1.344123,75.0,"22,53;22,54;23,53"
3,17.071,30.0,1.632865,1.764569,1.344123,75.0,"22,54;22,53;23,54"
3,17.071,30.0,1.579738,1.84489,1.344103,75.0,"22,52;23,53;23,52"
3,17.071,30.0,1.536458,1.84489,1.344123,75.0,"22,53;23,53;22,52"
3,17.071,30.0,1.527143,1.764569,1.344103,75.0,"22,54;23,54;23,55"
3,17.071,30.0,1.489833,1.764569,1.344123,75.0,"22,55;23,54;22,54"
3,17.071,30.0,1.487427,1.581137,1.344144,75.0,"22,53;22,54;21,53"
3,17.071,30.0,1.482404,1.682727,1.344123,75.0,"22,53;22,52;23,52"
3,17.071,30.0,1.482394,1.581137,1.344144,75.0,"21,54;22,54;22,53"
3,17.071,30.0,1.40849,1.682727,1.344103,75.0,"23,51;22,52;23,52"
3,17.071,30.0,1.407516,1.581137,1.344144,75.0,"21,53;22,54;21,54"
3,17.071,30.0,1.3981,1.552889,1.344144,75.0,"21,53;22,53;21,54"
3,17.071,30.0,1.376264,1.682727,1.344103,75.0,"23,52;23,51;22,51"
3,17.071,30.0,1.374695,1.764569,1.344103,75.0,"23,55;23,54;22,55"
3,17.071,30.0,1.364247,1.552889,1.344144,75.0,"22,52;21,53;22,53"
3,17.071,30.0,1.339362,1.581137,1.344144,75.0,"21,54;22,54;22,55"
3,17.071,30.0,1.336414,1.682727,1.344123,75.0,"22,51;22,52;23,52"
3,17.071,30.0,1.325394,1.435129,1.344144,75.0,"20,33;21,32;21,33"
3,17.071,30.0,1.318429,1.435129,1.344123,75.0,"21,32;22,32;21,33"
3,17.071,30.0,1.317172,1.424802,1.344103,75.0,"23,47;23,48;22,48"
3,17.071,30.0,1.313551,1.581137,1.344123,75.0,"22,54;22,55;23,55"
3,17.071,30.0,1.309146,1.42201,1.344144,75.0,"22,48;21,48;22,49"
3,17.071,30.0,1.307059,1.435129,1.344144,75.0,"21,32;21,33;20,32"
3,17.071,30.0,1.293235,1.581137,1.344144,75.0,"21,54;21,55;22,54"
3,17.071,30.0,1.28081,1.435129,1.344144,75.0,"20,33;20,32;21,32"
3,17.071,30.0,1.275658,1.424802,1.344103,75.0,"23,46;22,46;23,47"
3,17.071,30.0,1.263072,1.435129,1.344102,75.0,"21,31;22,32;21,32"
3,17.071,30.0,1.255553,1.42201,1.344144,75.0,"21,48;21,49;22,48"
3,17.071,30.0,1.252321,1.435129,1.344144,75.0,"21,32;22,33;21,33"
3,17.071,30.0,1.251702,1.435129,1.344103,75.0,"20,32;21,31;21,32"
3,17.071,30.0,1.250131,1.281748,1.344123,75.0,"23,48;22,49;22,48"
3,17.071,30.0,1.25005,1.424802,1.344103,75.0,"23,46;22,47;23,47"
3,17.071,30.0,1.239067,1.309901,1.344144,75.0,"21,33;20,32;20,33"
3,17.071,30.0,1.236197,1.42201,1.344144,75.0,"21,48;22,49;21,49"
3,17.071,30.0,1.235317,1.424802,1.344123,75.0,"22,48;22,47;23,47"
3,17.071,30.0,1.234387,1.42201,1.344144,75.0,"22,47;21,48;22,48"
3,17.071,30.0,1.230115,1.581137,1.344144,75.0,"21,55;22,54;22,55"
3,17.071,30.0,1.223056,1.424802,1.344103,75.0,"22,47;23,47;23,48"
3,17.071,30.0,1.21922,1.331146,1.344123,75.0,"22,52;22,51;23,51"
3,17.071,30.0,1.219106,1.435129,1.344123,75.0,"22,32;21,32;22,33"
3,17.071,30.0,1.209226,1.252947,1.344144,75.0,"22,39;21,39;21,38"
3,17.071,30.0,1.208196,1.281748,1.344103,75.0,"23,48;23,49;22,48"
3,17.071,30.0,1.207043,1.552889,1.344144,75.0,"22,53;21,52;21,53"
3,17.071,30.0,1.203929,1.252947,1.344144,75.0,"21,38;21,39;20,38"
3,17.071,30.0,1.201194,1.42201,1.344144,75.0,"21,47;22,48;21,48"
3,17.071,30.0,1.201101,1.281748,1.344123,75.0,"22,48;23,49;22,49"
3,17.071,30.0,1.200336,1.435129,1.344123,75.0,"20,31;21,32;20,32"
3,17.071,30.0,1.198283,1.252947,1.344144,75.0,"21,38;21,39;22,38"
3,17.071,30.0,1.189564,1.435129,1.344083,75.0,"20,31;21,31;21,32"
3,17.071,30.0,1.189443,1.281748,1.344144,75.0,"22,49;22,48;21,49"
3,17.071,30.0,1.18884,1.244965,1.344103,75.0,"23,49;23,48;22,49"
3,17.071,30.0,1.177363,1.309901,1.344123,75.0,"22,33;22,32;21,33"
3,17.071,30.0,1.175822,1.20928,1.344083,75.0,"4,54;3,54;3,55"
3,17.071,30.0,1.175372,1.281748,1.344123,75.0,"23,48;22,48;22,47"
3,17.071,30.0,1.172646,1.20928,1.344083,75.0,"3,54;4,55;3,55"
3,17.071,30.0,1.168396,1.234789,1.344144,75.0,"21,37;21,38;20,38"
3,17.071,30.0,1.168157,1.552889,1.344144,75.0,"21,52;22,53;22,52"
3,17.071,30.0,1.167391,1.235722,1.344103,75.0,"23,56;22,55;23,55"
3,17.071,30.0,1.166811,1.424802,1.344123,75.0,"22,46;22,47;23,47"
3,17.071,30.0,1.166667,1.252947,1.344144,75.0,"22,39;21,39;22,38"
3,17.071,30.0,1.165216,1.252947,1.344144,75.0,"20,39;21,38;21,39"
3,17.071,30.0,1.163485,1.309901,1.344144,75.0,"20,33;21,33;20,34"
3,17.071,30.0,1.162751,1.234789,1.344144,75.0,"21,37;22,38;21,38"
3,17.071,30.0,1.162287,1.198625,1.344082,75.0,"2,53;3,54;3,53"
3,17.071,30.0,1.160614,1.234789,1.344144,75.0,"22,38;22,39;21,38"
3,17.071,30.0,1.157889,1.198625,1.344123,75.0,"4,54;3,54;3,53"
3,17.071,30.0,1.154459,1.252947,1.344144,75.0,"21,39;22,39;22,40"
3,17.071,30.0,1.151361,1.309901,1.344144,75.0,"21,33;21,34;20,33"
3,17.071,30.0,1.149054,1.235722,1.344103,75.0,"23,55;22,56;23,56"
3,17.071,30.0,1.1477,1.155478,1.344082,75.0,"3,53;3,52;2,53"
3,17.071,30.0,1.147309,1.198625,1.344123,75.0,"4,53;3,53;3,54"
3,17.071,30.0,1.146291,1.20928,1.344103,75.0,"3,55;4,54;4,55"
3,17.071,30.0,1.145433,1.234789,1.344144,75.0,"21,37;20,37;21,38"
3,17.071,30.0,1.142767,1.235722,1.344123,75.0,"22,56;22,55;23,55"
3,17.071,30.0,1.14274,1.198625,1.344123,75.0,"4,55;4,54;3,54"
3,17.071,30.0,1.141521,1.231154,1.344144,75.0,"19,32;20,33;20,32"
3,17.071,30.0,1.140788,1.313155,1.344144,75.0,"22,55;21,55;21,54"
3,17.071,30.0,1.14064,1.331146,1.344103,75.0,"23,51;23,50;22,51"
3,17.071,30.0,1.139076,1.252947,1.344144,75.0,"22,39;21,40;21,39"
3,17.071,30.0,1.137999,1.234789,1.344144,75.0,"21,38;20,37;20,38"
3,17.071,30.0,1.136523,1.19813,1.344103,75.0,"23,57;23,56;22,56"
3,17.071,30.0,1.13611,1.42201,1.344144,75.0,"21,48;21,49;20,48"
3,17.071,30.0,1.135337,1.198625,1.344123,75.0,"4,53;3,54;4,54"
3,17.071,30.0,1.134405,1.234789,1.344144,75.0,"21,38;21,37;22,37"
3,17.071,30.0,1.133859,1.325945,1.344123,75.0,"22,46;23,46;22,47"
3,17.071,30.0,1.132723,1.155478,1.344123,75.0,"3,53;4,53;3,52"
3,17.071,30.0,1.128302,1.252947,1.344144,75.0,"20,38;20,39;21,39"
3,17.071,30.0,1.126872,1.231154,1.344144,75.0,"20,32;19,33;20,33"
3,17.071,30.0,1.126157,1.155478,1.344123,75.0,"3,52;3,53;4,52"
3,17.071,30.0,1.12338,1.154866,1.344103,75.0,"3,51;3,52;4,51"
3,17.071,30.0,1.122775,1.154866,1.344103,75.0,"3,51;3,52;4,52"
3,17.071,30.0,1.12225,1.234789,1.344144,75.0,"20,38;21,38;20,39"
3,17.071,30.0,1.121326,1.234789,1.344144,75.0,"22,37;21,38;22,38"
3,17.071,30.0,1.120955,1.155478,1.344143,75.0,"3,53;4,53;4,54"
3,17.071,30.0,1.115926,1.252947,1.344144,75.0,"21,40;21,39;22,40"
3,17.071,30.0,1.115117,1.328255,1.344144,75.0,"21,54;21,53;20,53"
3,17.071,30.0,1.114212,1.19813,1.344103,75.0,"23,58;23,57;22,57"
3,17.071,30.0,1.112953,1.19813,1.344103,75.0,"23,57;22,57;23,56"
3,17.071,30.0,1.112801,1.145333,1.344082,75.0,"4,51;3,50;3,51"
3,17.071,30.0,1.111744,1.142655,1.344123,75.0,"22,56;23,56;22,55"
3,17.071,30.0,1.111122,1.145333,1.344082,75.0,"3,51;4,50;3,50"
3,17.071,30.0,1.110748,1.20928,1.344102,75.0,"3,55;4,56;4,55"
3,17.071,30.0,1.10852,1.14635,1.344144,75.0,"21,37;20,38;20,37"
3,17.071,30.0,1.107078,1.42201,1.344144,75.0,"21,47;21,48;22,47"
3,17.071,30.0,1.106055,1.154423,1.344083,75.0,"6,58;5,58;5,59"
3,17.071,30.0,1.104764,1.331146,1.344123,75.0,"22,50;22,51;23,51"
3,17.071,30.0,1.103809,1.155478,1.344143,75.0,"4,53;3,53;4,52"
3,17.071,30.0,1.103605,1.154866,1.344123,75.0,"4,53;4,52;3,52"
3,17.071,30.0,1.103237,1.176147,1.344083,75.0,"20,32;21,31;20,31"
3,17.071,30.0,1.099136,1.22368,1.344103,75.0,"22,49;23,50;23,49"
3,17.071,30.0,1.097836,1.19813,1.344103,75.0,"22,58;23,57;23,58"
3,17.071,30.0,1.097644,1.154866,1.344123,75.0,"3,52;4,51;4,52"
