n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.830121,1.848014,1.344082,75.0,"8,26;8,25;9,25"
3,17.071,30.0,1.829957,1.84461,1.344103,75.0,"8,27;9,28;8,28"
3,17.071,30.0,1.825001,1.84461,1.344103,75.0,"8,28;8,29;9,28"
3,17.071,30.0,1.821932,1.84461,1.344103,75.0,"8,28;9,29;8,29"
3,17.071,30.0,1.820144,1.84461,1.344123,75.0,"9,28;8,28;9,29"
3,17.071,30.0,1.818109,1.848014,1.344082,75.0,"9,26;8,26;8,25"
3,17.071,30.0,1.817096,1.818155,1.344144,75.0,"19,11;19,10;18,11"
3,17.071,30.0,1.816622,1.818155,1.344082,75.0,"20,9;19,10;19,9"
3,17.071,30.0,1.816558,1.818155,1.344123,75.0,"19,9;18,10;19,10"
3,17.071,30.0,1.816419,1.81663,1.344144,75.0,"18,11;19,11;19,12"
3,17.071,30.0,1.816324,1.818155,1.344144,75.0,"19,10;18,10;19,11"
3,17.071,30.0,1.816282,1.818155,1.344144,75.0,"19,10;18,10;18,11"
3,17.071,30.0,1.81615,1.81663,1.344144,75.0,"19,11;18,12;18,11"
3,17.071,30.0,1.816024,1.81663,1.344144,75.0,"19,11;18,12;19,12"
3,17.071,30.0,1.815981,1.816502,1.344144,75.0,"18,11;18,12;19,12"
3,17.071,30.0,1.815773,1.81663,1.344144,75.0,"19,11;18,10;18,11"
3,17.071,30.0,1.815703,1.816125,1.344144,75.0,"19,12;18,12;19,13"
3,17.071,30.0,1.815694,1.816125,1.344144,75.0,"18,13;19,13;19,12"
3,17.071,30.0,1.815578,1.816125,1.344144,75.0,"19,12;18,13;18,12"
3,17.071,30.0,1.815425,1.815667,1.344144,75.0,"18,12;19,13;18,13"
3,17.071,30.0,1.815298,1.818155,1.344082,75.0,"19,10;18,9;19,9"
3,17.071,30.0,1.814685,1.816502,1.344144,75.0,"17,12;18,11;18,12"
3,17.071,30.0,1.814453,1.816502,1.344144,75.0,"18,12;17,11;18,11"
3,17.071,30.0,1.814281,1.815318,1.344144,75.0,"17,12;18,12;18,13"
3,17.071,30.0,1.81425,1.818155,1.344103,75.0,"18,9;18,10;19,10"
3,17.071,30.0,1.814076,1.816502,1.344144,75.0,"17,11;18,11;18,10"
3,17.071,30.0,1.814032,1.815667,1.344144,75.0,"18,14;19,13;18,13"
3,17.071,30.0,1.813975,1.817329,1.344082,75.0,"18,9;19,9;18,10"
3,17.071,30.0,1.813887,1.818155,1.344102,75.0,"19,9;19,10;20,10"
3,17.071,30.0,1.81369,1.815318,1.344144,75.0,"18,12;17,13;18,13"
3,17.071,30.0,1.813653,1.818155,1.344123,75.0,"20,10;19,10;19,11"
3,17.071,30.0,1.813425,1.816502,1.344144,75.0,"18,11;17,11;17,12"
3,17.071,30.0,1.813031,1.815318,1.344144,75.0,"18,12;17,12;17,11"
3,17.071,30.0,1.813024,1.816125,1.344123,75.0,"19,12;20,13;19,13"
3,17.071,30.0,1.813019,1.842288,1.344103,75.0,"8,26;9,26;8,27"
3,17.071,30.0,1.812904,1.818155,1.344082,75.0,"19,10;20,10;20,9"
3,17.071,30.0,1.812672,1.815318,1.344144,75.0,"17,13;18,12;17,12"
3,17.071,30.0,1.812663,1.815291,1.344144,75.0,"17,12;17,13;18,13"
3,17.071,30.0,1.812628,1.817329,1.344062,75.0,"19,9;20,10;20,9"
3,17.071,30.0,1.812576,1.816502,1.344123,75.0,"18,10;18,11;17,10"
3,17.071,30.0,1.812297,1.815291,1.344144,75.0,"18,13;18,14;17,13"
3,17.071,30.0,1.811693,1.816502,1.344123,75.0,"17,10;17,11;18,11"
3,17.071,30.0,1.811419,1.818155,1.344123,75.0,"19,10;19,11;20,11"
3,17.071,30.0,1.811367,1.815291,1.344144,75.0,"18,13;18,14;17,14"
3,17.071,30.0,1.811233,1.817877,1.344123,75.0,"9,28;9,29;8,29"
3,17.071,30.0,1.811143,1.815291,1.344144,75.0,"18,13;17,14;17,13"
3,17.071,30.0,1.810922,1.814188,1.344123,75.0,"18,10;17,11;17,10"
3,17.071,30.0,1.810742,1.81663,1.344123,75.0,"19,12;20,11;19,11"
3,17.071,30.0,1.810545,1.814188,1.344102,75.0,"18,10;18,9;17,10"
3,17.071,30.0,1.81051,1.81663,1.344123,75.0,"20,12;19,11;19,12"
3,17.071,30.0,1.810189,1.816125,1.344123,75.0,"20,12;19,13;19,12"
3,17.071,30.0,1.809908,1.812236,1.344144,75.0,"17,11;16,12;17,12"
