n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,0.899299,0.931887,1.344144,75.0,"14,56;15,57;15,56"
3,17.071,30.0,0.873848,0.909313,1.344144,75.0,"14,56;15,57;14,57"
3,17.071,30.0,0.927308,0.99334,1.344144,75.0,"14,56;15,55;15,56"
3,17.071,30.0,0.923582,0.99334,1.344144,75.0,"14,56;15,55;14,55"
3,17.071,30.0,0.86753,0.874153,1.344144,75.0,"14,56;13,57;13,56"
3,17.071,30.0,0.862128,0.874153,1.344144,75.0,"14,56;13,57;14,57"
3,17.071,30.0,0.881841,0.917084,1.344144,75.0,"14,56;13,55;13,56"
3,17.071,30.0,0.898163,0.92071,1.344144,75.0,"14,56;13,55;14,55"
3,17.071,30.0,0.881373,0.931887,1.344144,75.0,"14,56;14,57;15,56"
3,17.071,30.0,0.861324,0.871742,1.344144,75.0,"14,56;14,57;13,56"
3,17.071,30.0,0.873848,0.909313,1.344144,75.0,"14,56;14,57;15,57"
3,17.071,30.0,0.862128,0.874153,1.344144,75.0,"14,56;14,57;13,57"
3,17.071,30.0,0.903098,0.931887,1.344144,75.0,"14,56;14,55;15,56"
3,17.071,30.0,0.883049,0.92071,1.344144,75.0,"14,56;14,55;13,56"
3,17.071,30.0,0.923582,0.99334,1.344144,75.0,"14,56;14,55;15,55"
3,17.071,30.0,0.898163,0.92071,1.344144,75.0,"14,56;14,55;13,55"
3,17.071,30.0,0.881373,0.931887,1.344144,75.0,"14,56;15,56;14,57"
3,17.071,30.0,0.903098,0.931887,1.344144,75.0,"14,56;15,56;14,55"
3,17.071,30.0,0.899299,0.931887,1.344144,75.0,"14,56;15,56;15,57"
3,17.071,30.0,0.927308,0.99334,1.344144,75.0,"14,56;15,56;15,55"
3,17.071,30.0,0.861324,0.871742,1.344144,75.0,"14,56;13,56;14,57"
3,17.071,30.0,0.883049,0.92071,1.344144,75.0,"14,56;13,56;14,55"
3,17.071,30.0,0.86753,0.874153,1.344144,75.0,"14,56;13,56;13,57"
3,17.071,30.0,0.881841,0.917084,1.344144,75.0,"14,56;13,56;13,55"
3,17.071,30.0,1.607412,1.61327,1.344144,75.0,"15,12;16,13;16,12"
3,17.071,30.0,1.602943,1.61327,1.344144,75.0,"15,12;16,13;15,13"
3,17.071,30.0,1.60619,1.612386,1.344144,75.0,"15,12;16,11;16,12"
3,17.071,30.0,1.599334,1.609603,1.344144,75.0,"15,12;16,11;15,11"
3,17.071,30.0,1.584762,1.596579,1.344144,75.0,"15,12;14,13;14,12"
3,17.071,30.0,1.592474,1.598979,1.344144,75.0,"15,12;14,13;15,13"
3,17.071,30.0,1.580091,1.596579,1.344144,75.0,"15,12;14,11;14,12"
3,17.071,30.0,1.585417,1.596579,1.344144,75.0,"15,12;14,11;15,11"
3,17.071,30.0,1.602648,1.612386,1.344144,75.0,"15,12;15,13;16,12"
3,17.071,30.0,1.590466,1.598979,1.344144,75.0,"15,12;15,13;14,12"
3,17.071,30.0,1.602943,1.61327,1.344144,75.0,"15,12;15,13;16,13"
3,17.071,30.0,1.592474,1.598979,1.344144,75.0,"15,12;15,13;14,13"
3,17.071,30.0,1.600262,1.612386,1.344144,75.0,"15,12;15,11;16,12"
3,17.071,30.0,1.58808,1.596579,1.344144,75.0,"15,12;15,11;14,12"
3,17.071,30.0,1.599334,1.609603,1.344144,75.0,"15,12;15,11;16,11"
3,17.071,30.0,1.585417,1.596579,1.344144,75.0,"15,12;15,11;14,11"
3,17.071,30.0,1.602648,1.612386,1.344144,75.0,"15,12;16,12;15,13"
3,17.071,30.0,1.600262,1.612386,1.344144,75.0,"15,12;16,12;15,11"
3,17.071,30.0,1.607412,1.61327,1.344144,75.0,"15,12;16,12;16,13"
3,17.071,30.0,1.60619,1.612386,1.344144,75.0,"15,12;16,12;16,11"
3,17.071,30.0,1.590466,1.598979,1.344144,75.0,"15,12;14,12;15,13"
3,17.071,30.0,1.58808,1.596579,1.344144,75.0,"15,12;14,12;15,11"
3,17.071,30.0,1.584762,1.596579,1.344144,75.0,"15,12;14,12;14,13"
3,17.071,30.0,1.580091,1.596579,1.344144,75.0,"15,12;14,12;14,11"
3,17.071,30.0,1.340972,1.35351,1.344144,75.0,"14,47;15,48;15,47"
3,17.071,30.0,1.342334,1.35351,1.344144,75.0,"14,47;15,48;14,48"
3,17.071,30.0,1.357205,1.372784,1.344144,75.0,"14,47;15,46;15,47"
3,17.071,30.0,1.365969,1.372784,1.344144,75.0,"14,47;15,46;14,46"
3,17.071,30.0,1.339306,1.35351,1.344144,75.0,"14,47;13,48;13,47"
3,17.071,30.0,1.344807,1.35351,1.344144,75.0,"14,47;13,48;14,48"
3,17.071,30.0,1.346448,1.35351,1.344144,75.0,"14,47;13,46;13,47"
3,17.071,30.0,1.35935,1.371614,1.344144,75.0,"14,47;13,46;14,46"
3,17.071,30.0,1.349414,1.35351,1.344144,75.0,"14,47;14,48;15,47"
3,17.071,30.0,1.345275,1.35351,1.344144,75.0,"14,47;14,48;13,47"
3,17.071,30.0,1.342334,1.35351,1.344144,75.0,"14,47;14,48;15,48"
3,17.071,30.0,1.344807,1.35351,1.344144,75.0,"14,47;14,48;13,48"
3,17.071,30.0,1.356815,1.371614,1.344144,75.0,"14,47;14,46;15,47"
3,17.071,30.0,1.352677,1.371614,1.344144,75.0,"14,47;14,46;13,47"
3,17.071,30.0,1.365969,1.372784,1.344144,75.0,"14,47;14,46;15,46"
3,17.071,30.0,1.35935,1.371614,1.344144,75.0,"14,47;14,46;13,46"
3,17.071,30.0,1.349414,1.35351,1.344144,75.0,"14,47;15,47;14,48"
3,17.071,30.0,1.356815,1.371614,1.344144,75.0,"14,47;15,47;14,46"
3,17.071,30.0,1.340972,1.35351,1.344144,75.0,"14,47;15,47;15,48"
3,17.071,30.0,1.357205,1.372784,1.344144,75.0,"14,47;15,47;15,46"
3,17.071,30.0,1.345275,1.35351,1.344144,75.0,"14,47;13,47;14,48"
3,17.071,30.0,1.352677,1.371614,1.344144,75.0,"14,47;13,47;14,46"
3,17.071,30.0,1.339306,1.35351,1.344144,75.0,"14,47;13,47;13,48"
3,17.071,30.0,1.346448,1.35351,1.344144,75.0,"14,47;13,47;13,46"
3,17.071,30.0,1.227152,1.337289,1.344103,75.0,"22,51;23,52;23,51"
3,17.071,30.0,1.169932,1.230016,1.344123,75.0,"22,51;23,52;22,52"
3,17.071,30.0,1.390304,1.603607,1.344103,75.0,"22,51;23,50;23,51"
3,17.071,30.0,1.429077,1.603607,1.344123,75.0,"22,51;23,50;22,50"
3,17.071,30.0,1.257337,1.363238,1.344144,75.0,"22,51;21,52;21,51"
3,17.071,30.0,1.191468,1.230016,1.344144,75.0,"22,51;21,52;22,52"
3,17.071,30.0,1.331167,1.400248,1.344144,75.0,"22,51;21,50;21,51"
3,17.071,30.0,1.361291,1.453609,1.344144,75.0,"22,51;21,50;22,50"
3,17.071,30.0,1.244312,1.337289,1.344123,75.0,"22,51;22,52;23,51"
3,17.071,30.0,1.252962,1.363238,1.344144,75.0,"22,51;22,52;21,51"
3,17.071,30.0,1.169932,1.230016,1.344123,75.0,"22,51;22,52;23,52"
3,17.071,30.0,1.191468,1.230016,1.344144,75.0,"22,51;22,52;21,52"
3,17.071,30.0,1.340305,1.453609,1.344123,75.0,"22,51;22,50;23,51"
3,17.071,30.0,1.348954,1.453609,1.344144,75.0,"22,51;22,50;21,51"
3,17.071,30.0,1.429077,1.603607,1.344123,75.0,"22,51;22,50;23,50"
3,17.071,30.0,1.361291,1.453609,1.344144,75.0,"22,51;22,50;21,50"
3,17.071,30.0,1.244312,1.337289,1.344123,75.0,"22,51;23,51;22,52"
3,17.071,30.0,1.340305,1.453609,1.344123,75.0,"22,51;23,51;22,50"
3,17.071,30.0,1.227152,1.337289,1.344103,75.0,"22,51;23,51;23,52"
3,17.071,30.0,1.390304,1.603607,1.344103,75.0,"22,51;23,51;23,50"
3,17.071,30.0,1.252962,1.363238,1.344144,75.0,"22,51;21,51;22,52"
3,17.071,30.0,1.348954,1.453609,1.344144,75.0,"22,51;21,51;22,50"
3,17.071,30.0,1.257337,1.363238,1.344144,75.0,"22,51;21,51;21,52"
3,17.071,30.0,1.331167,1.400248,1.344144,75.0,"22,51;21,51;21,50"
3,17.071,30.0,1.460074,1.468449,1.344144,75.0,"14,38;15,39;15,38"
3,17.071,30.0,1.459134,1.468449,1.344144,75.0,"14,38;15,39;14,39"
