============================================================
  Human Patrol Path Generator — Summary
============================================================

Grid              : 31 x 67
Park cells        : 890
Total danger      : 1292.549
Max path length   : 3 cells
Movement          : 8-directional (cardinal + diagonal)
Sensor range      : 0.5 km
Ranking metric    : avg_path_danger
Loops generated   : 19,380
After dedup+filter: 200
Runtime           : 3.9s

Path length distribution (all loops):
n_cells
3    19380

Top 20 by avg_path_danger:
    n_cells  path_km  duration_min  avg_path_danger  max_path_danger  danger_removed  coverage_km2
0         3   17.071          30.0         1.830121         1.848014        1.344082          75.0
1         3   17.071          30.0         1.829957         1.844610        1.344103          75.0
2         3   17.071          30.0         1.825001         1.844610        1.344103          75.0
3         3   17.071          30.0         1.821932         1.844610        1.344103          75.0
4         3   17.071          30.0         1.820144         1.844610        1.344123          75.0
5         3   17.071          30.0         1.818109         1.848014        1.344082          75.0
6         3   17.071          30.0         1.817096         1.818155        1.344144          75.0
7         3   17.071          30.0         1.816622         1.818155        1.344082          75.0
8         3   17.071          30.0         1.816558         1.818155        1.344123          75.0
9         3   17.071          30.0         1.816419         1.816630        1.344144          75.0
10        3   17.071          30.0         1.816324         1.818155        1.344144          75.0
11        3   17.071          30.0         1.816282         1.818155        1.344144          75.0
12        3   17.071          30.0         1.816150         1.816630        1.344144          75.0
13        3   17.071          30.0         1.816024         1.816630        1.344144          75.0
14        3   17.071          30.0         1.815981         1.816502        1.344144          75.0
15        3   17.071          30.0         1.815773         1.816630        1.344144          75.0
16        3   17.071          30.0         1.815703         1.816125        1.344144          75.0
17        3   17.071          30.0         1.815694         1.816125        1.344144          75.0
18        3   17.071          30.0         1.815578         1.816125        1.344144          75.0
19        3   17.071          30.0         1.815425         1.815667        1.344144          75.0
