pred_code,prey_code
ACIJUB,AEPMEL
ACIJUB,CONTAU
ACIJUB,MADKIR
ACIJUB,PHAACT
CARCAR,MADKIR
CARCAR,PROCAP
CROCRO,AEPMEL
CROCRO,ALCBUS
CROCRO,CONTAU
CROCRO,EQUBUR
CROCRO,MADKIR
CROCRO,PHAACT
PANLEO,AEPMEL
PANLEO,ALCBUS
PANLEO,CONTAU
PANLEO,EQUBUR
PANLEO,GIRCAM
PANLEO,MADKIR
PANLEO,PHAACT
PANLEO,TAUORY
PANPAR,AEPMEL
PANPAR,ALCBUS
PANPAR,CONTAU
PANPAR,EQUBUR
PANPAR,MADKIR
PANPAR,PHAACT
PANPAR,TAUORY
AEPMEL,PLANTS
ALCBUS,PLANTS
CONTAU,PLANTS
EQUBUR,PLANTS
GIRCAM,PLANTS
LOXAFR,PLANTS
MADKIR,PLANTS
PHAACT,PLANTS
PROCAP,PLANTS
TAUORY,PLANTS
BRHINO,PLANTS
WRHINO,PLANTS
PANLEO,ANTELO
ACIJUB,ANTELO
PANPAR,ANTELO
CROCRO,ANTELO
ANTELO,PLANTS
PANGOL,BUGS
PANPAR,PANGOL
CROCRO,PANGOL
PANPAR,AARDVA
CROCRO,AARDVA
AARDVA,BUGS
ORYXOR,PLANTS
CROCRO,ORYXOR
PANPAR,ORYXOR
PANLEO,ORYXOR
LEPSER,MADKIR
LEPSER,PROCAP
