n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str,optimizer_danger_removed
6,30.0,25.71,1.598987,1.699352,2.197828,150.0,"8,32;7,32;7,31;8,31;9,31;9,32",3.228498
6,30.0,25.71,1.576751,1.617139,2.184897,150.0,"8,26;8,25;9,25;9,26;9,27;8,27",3.099492
6,30.0,25.71,1.56136,1.676018,2.210324,150.0,"8,32;9,32;9,33;8,33;7,33;7,32",3.328775
6,30.0,25.71,1.553672,1.662173,2.214111,150.0,"8,38;7,38;6,38;6,39;7,39;8,39",3.438643
6,30.0,25.71,1.550261,1.663041,2.210526,150.0,"7,42;7,41;6,41;5,41;5,42;6,42",3.350163
6,30.0,25.71,1.533421,1.591528,2.24248,150.0,"9,28;9,29;10,29;11,29;11,28;10,28",3.730535
6,30.0,25.71,1.531863,1.640578,2.185093,150.0,"6,36;7,36;7,37;7,38;6,38;6,37",3.12088
6,30.0,25.71,1.526299,1.652323,2.239101,150.0,"7,40;6,40;6,41;7,41;8,41;8,40",3.639196
6,30.0,25.71,1.516081,1.588084,2.242443,150.0,"10,27;9,27;9,28;10,28;11,28;11,27",3.720335
6,30.0,25.71,1.512989,1.649057,2.210972,150.0,"9,33;9,34;8,34;7,34;7,33;8,33",3.378893
6,30.0,25.71,1.507341,1.581812,2.242657,150.0,"8,40;8,39;8,38;7,38;7,39;7,40",3.751923
6,30.0,25.71,1.498766,1.59048,2.213649,150.0,"6,44;6,43;6,42;5,42;5,43;5,44",3.409913
6,30.0,25.71,1.497171,1.640578,2.210526,150.0,"6,37;6,38;7,38;8,38;8,37;7,37",3.350163
6,30.0,25.71,1.493968,1.581812,2.243112,150.0,"7,41;7,40;7,39;8,39;8,40;8,41",3.780653
6,30.0,25.71,1.485452,1.528175,2.184881,150.0,"5,44;4,44;4,45;4,46;5,46;5,45",3.099492
6,30.0,25.71,1.483992,1.535602,2.24381,150.0,"10,28;11,28;12,28;12,29;11,29;10,29",3.840971
6,30.0,25.71,1.483109,1.559501,2.243129,150.0,"10,31;9,31;9,30;10,30;11,30;11,31",3.780653
6,30.0,25.71,1.482579,1.58289,2.241806,150.0,"9,34;9,33;9,32;8,32;8,33;8,34",3.680417
6,30.0,25.71,1.477475,1.59048,2.214111,150.0,"5,43;6,43;7,43;7,42;6,42;5,42",3.438643
6,30.0,25.71,1.476491,1.602896,2.242009,150.0,"7,43;6,43;6,42;6,41;7,41;7,42",3.701805
4,20.0,17.14,1.475644,1.570841,1.517679,100.0,"7,40;7,41;8,41;8,40",2.85137
6,30.0,25.71,1.473582,1.535602,2.243819,150.0,"12,29;12,30;11,30;10,30;10,29;11,29",3.840971
6,30.0,25.71,1.472469,1.535602,2.243819,150.0,"11,31;11,30;11,29;10,29;10,30;10,31",3.840971
6,30.0,25.71,1.472392,1.502647,2.226816,150.0,"11,23;10,23;9,23;9,22;10,22;11,22",3.560308
6,30.0,25.71,1.470214,1.51994,2.243806,150.0,"10,28;10,27;11,27;12,27;12,28;11,28",3.840971
6,30.0,25.71,1.468916,1.489167,2.235508,150.0,"9,20;9,21;9,22;10,22;10,21;10,20",3.550717
6,30.0,25.71,1.467615,1.528175,2.197828,150.0,"4,45;4,44;5,44;6,44;6,45;5,45",3.228498
6,30.0,25.71,1.466858,1.58289,2.24224,150.0,"9,33;8,33;8,32;9,32;10,32;10,33",3.698946
6,30.0,25.71,1.465782,1.581812,2.242009,150.0,"7,39;7,38;7,37;8,37;8,38;8,39",3.701805
4,20.0,17.14,1.465772,1.704233,1.48488,100.0,"22,56;22,55;23,55;23,56",2.399492
6,30.0,25.71,1.464909,1.481605,2.197829,150.0,"9,21;8,21;8,20;9,20;10,20;10,21",3.228498
6,30.0,25.71,1.464142,1.489167,2.238906,150.0,"9,22;10,22;11,22;11,21;10,21;9,21",3.617808
6,30.0,25.71,1.46329,1.500314,2.2429,150.0,"10,23;10,24;10,25;11,25;11,24;11,23",3.783512
6,30.0,25.71,1.462661,1.464368,2.196447,150.0,"19,10;19,11;19,12;20,12;20,11;20,10",3.118062
4,20.0,17.14,1.462102,1.490183,1.517967,100.0,"12,28;12,29;11,29;11,28",2.882958
6,30.0,25.71,1.46046,1.503615,2.243777,150.0,"10,26;10,27;11,27;12,27;12,26;11,26",3.830771
6,30.0,25.71,1.459956,1.479197,2.242898,150.0,"10,22;11,22;11,23;11,24;10,24;10,23",3.783512
6,30.0,25.71,1.459496,1.464027,2.210762,150.0,"18,13;18,12;19,12;20,12;20,13;19,13",3.357505
4,20.0,17.14,1.458422,1.5343,1.516575,100.0,"9,34;8,34;8,33;9,33",2.772522
6,30.0,25.71,1.458336,1.464368,2.205803,150.0,"20,11;20,10;19,10;18,10;18,11;19,11",3.158589
6,30.0,25.71,1.457651,1.521318,2.226151,150.0,"5,44;5,45;6,45;6,44;6,43;5,43",3.51019
6,30.0,25.71,1.457274,1.602896,2.242268,150.0,"6,41;6,42;7,42;8,42;8,41;7,41",3.709146
6,30.0,25.71,1.457196,1.490183,2.243862,150.0,"11,29;12,29;12,28;12,27;11,27;11,28",3.840971
6,30.0,25.71,1.457171,1.475148,2.243115,150.0,"11,23;11,22;11,21;10,21;10,22;10,23",3.780653
6,30.0,25.71,1.457072,1.465618,2.155405,150.0,"18,10;19,10;20,10;20,9;19,9;18,9",2.728752
6,30.0,25.71,1.455234,1.490183,2.243862,150.0,"12,29;12,30;11,30;11,29;11,28;12,28",3.840971
4,20.0,17.14,1.455111,1.475148,1.517653,100.0,"11,22;11,21;10,21;10,22",2.84117
6,30.0,25.71,1.454638,1.501042,2.197376,150.0,"5,47;5,46;5,45;4,45;4,46;4,47",3.199769
4,20.0,17.14,1.454396,1.490183,1.517967,100.0,"11,30;11,29;12,29;12,30",2.882958
6,30.0,25.71,1.45429,1.462177,2.196214,150.0,"19,9;19,10;19,11;18,11;18,10;18,9",3.110721
6,30.0,25.71,1.453834,1.475238,2.229291,150.0,"9,20;9,21;10,21;10,20;10,19;9,19",3.56994
4,20.0,17.14,1.453111,1.461335,1.47078,100.0,"19,9;18,9;18,10;19,10",2.181438
6,30.0,25.71,1.452824,1.581812,2.243129,150.0,"7,39;8,39;9,39;9,40;8,40;7,40",3.780653
6,30.0,25.71,1.452245,1.464027,2.197828,150.0,"19,14;19,15;20,15;20,14;20,13;19,13",3.228498
4,20.0,17.14,1.452147,1.475192,1.517967,100.0,"12,28;12,27;11,27;11,28",2.882958
