n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str,optimizer_danger_removed
3,17.071,30.0,1.712939,1.741101,1.344123,75.0,"9,28;8,28;9,29",4.71608
3,17.071,30.0,1.709176,1.730446,1.344103,75.0,"9,29;8,30;8,29",4.610302
3,17.071,30.0,1.701356,1.724942,1.344103,75.0,"9,26;8,27;8,26",4.455856
3,17.071,30.0,1.66513,1.738152,1.344123,75.0,"5,41;6,41;6,42",4.680406
3,17.071,30.0,1.656891,1.710789,1.344103,75.0,"8,31;8,32;7,31",4.49153
3,17.071,30.0,1.653529,1.738152,1.344103,75.0,"5,41;5,42;6,42",4.479927
3,17.071,30.0,1.644764,1.703543,1.344103,75.0,"7,38;6,39;6,38",4.610302
3,17.071,30.0,1.640328,1.686127,1.344144,75.0,"7,38;7,39;8,39",5.130896
3,17.071,30.0,1.638958,1.686127,1.344123,75.0,"7,38;7,39;6,38",4.74015
3,17.071,30.0,1.638339,1.639999,1.344082,75.0,"19,10;20,9;20,10",4.100068
3,17.071,30.0,1.637795,1.639999,1.344062,75.0,"19,9;20,9;20,10",3.863915
3,17.071,30.0,1.637513,1.639336,1.344144,75.0,"19,13;19,12;18,13",5.106826
3,17.071,30.0,1.635797,1.674366,1.344123,75.0,"9,25;10,24;9,24",4.823248
3,17.071,30.0,1.635666,1.639336,1.344144,75.0,"19,12;18,12;18,11",5.118429
3,17.071,30.0,1.635047,1.639745,1.344082,75.0,"19,9;19,10;18,9",4.171563
3,17.071,30.0,1.634722,1.681732,1.344123,75.0,"6,41;6,42;5,42",4.71608
3,17.071,30.0,1.633765,1.639403,1.344103,75.0,"19,11;20,12;20,11",4.49153
3,17.071,30.0,1.632173,1.638114,1.344082,75.0,"18,9;19,9;18,10",4.207237
3,17.071,30.0,1.632073,1.686127,1.344144,75.0,"7,39;8,40;8,39",5.16657
3,17.071,30.0,1.630857,1.638869,1.344103,75.0,"19,13;20,13;20,14",4.49153
3,17.071,30.0,1.630187,1.680471,1.344144,75.0,"8,39;8,40;7,40",5.202244
3,17.071,30.0,1.629204,1.686127,1.344144,75.0,"8,38;7,39;8,39",5.16657
3,17.071,30.0,1.627902,1.633809,1.344123,75.0,"18,11;18,10;17,10",4.823248
3,17.071,30.0,1.622626,1.632004,1.344082,75.0,"8,22;8,21;9,21",4.231307
3,17.071,30.0,1.622309,1.674366,1.344144,75.0,"9,25;10,25;10,24",5.023728
3,17.071,30.0,1.619621,1.686127,1.344144,75.0,"8,38;7,38;7,39",5.130896
3,17.071,30.0,1.613889,1.615238,1.344103,75.0,"9,21;8,20;9,20",4.503134
3,17.071,30.0,1.613114,1.681732,1.344144,75.0,"6,42;6,41;7,41",5.082755
3,17.071,30.0,1.610211,1.642726,1.344103,75.0,"7,33;8,32;7,32",4.455856
3,17.071,30.0,1.607754,1.614662,1.344103,75.0,"9,18;8,18;9,19",4.527204
